V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.59185762881325,0.182779472046038,-19.6513185458187,0
factor(wave)2,-0.304743871272699,0.12337463372783,-2.47006910630411,0.0135086952950898
factor(wave)3,-0.302452647596234,0.122137688660418,-2.4763252924914,0.0132742573699209
factor(wave)4,-0.350018652415125,0.121096963334798,-2.8903999140542,0.00384752024722501
hsize,-0.0393778827224565,0.00661679664402485,-5.95120038304575,2.66182942354476e-09
head_gendrfemale,-0.17123632515958,0.015955865405191,-10.7318732523195,0
age0-29,-0.493786025570668,0.0415902464137614,-11.8726400574363,0
age50-69,0.749228190674436,0.0198513381478307,37.7419489353825,0
age+70,1.141117365617,0.0236712750002644,48.2068399612718,0
edu_refsecondary,0.36391466869195,0.0226945931255326,16.0353026238011,0
edu_reftertiary,0.964911921977862,0.0240506900892538,40.1199266381549,0
random_part,0.104241390713741,0.520289549986535,0.322812399541291,0.721296712143757
eval,135268.753316678,135406.731642572,-67621.376658339,135242.753316678
