interleaved_names,V2,V2,V2,V2,V2,V2,V2
year,2002,2005,2008,2011,2014,2017,2020
(Intercept),0.533,0.311,0.619,0.461,0.466,0.612,0.828
p-val,0.625,0.226,0.16,0.094,0.162,0.2,0.064
bage0-34,0.098,0.159,0.179,0.159,0.31,0.2,0.092
p-val,0.391,0.001,0.015,0.001,0,0.058,0.496
bage35-44,-0.027,-0.017,0.032,0.054,0.101,0.052,0.01
p-val,0.793,0.705,0.61,0.174,0.051,0.501,0.918
bage54-65,0.053,0.064,0.009,0.082,0.03,-0.041,-0.087
p-val,0.641,0.209,0.892,0.057,0.593,0.603,0.357
bage65-75,0.005,-0.052,0.032,0.054,0.101,0.034,-0.094
p-val,0.971,0.393,0.708,0.326,0.15,0.741,0.461
bage75,0.058,-0.022,0.049,0.031,0.118,0.109,-0.043
p-val,0.701,0.734,0.576,0.57,0.097,0.288,0.738
classcapitalist,0.025,0.167,-0.011,0.111,0.064,0.004,-0.186
p-val,0.982,0.525,0.981,0.691,0.851,0.993,0.696
classinactive,0.004,0.232,-0.081,0.091,0.109,0,-0.11
p-val,0.997,0.368,0.853,0.739,0.741,1,0.806
classmanager,0.334,0.525,0.227,0.435,0.398,0.218,0.089
p-val,0.76,0.044,0.609,0.117,0.234,0.648,0.842
classretired,-0.042,0.207,-0.128,0.015,-0.006,-0.081,-0.189
p-val,0.97,0.423,0.771,0.956,0.985,0.865,0.669
classworker,0.004,0.202,-0.098,0.078,0.151,0.054,-0.126
p-val,0.997,0.431,0.824,0.777,0.649,0.91,0.777
