vars,2002,2005,2008,2011,2014,2017,2020
1,2002,2005,2008,2011,2014,2017,2020
p-val,0.728,0.387,0.695,0.493,0.482,0.625,0.828
2,0.625,0.226,0.16,0.094,0.162,0.2,0.064
p-val,0.133,0.198,0.201,0.17,0.32,0.204,0.092
3,0.391,0.001,0.015,0.001,0,0.058,0.496
p-val,-0.036,-0.021,0.036,0.058,0.105,0.053,0.01
4,0.793,0.705,0.61,0.174,0.051,0.501,0.918
p-val,0.072,0.079,0.011,0.088,0.031,-0.042,-0.087
5,0.641,0.209,0.892,0.057,0.593,0.603,0.357
p-val,0.007,-0.064,0.036,0.057,0.105,0.035,-0.094
6,0.971,0.393,0.708,0.326,0.15,0.741,0.461
p-val,0.079,-0.027,0.056,0.033,0.122,0.111,-0.043
7,0.701,0.734,0.576,0.57,0.097,0.288,0.738
p-val,0.034,0.207,-0.012,0.118,0.066,0.005,-0.186
8,0.982,0.525,0.981,0.691,0.851,0.993,0.696
p-val,0.006,0.288,-0.091,0.098,0.113,0,-0.11
9,0.997,0.368,0.853,0.739,0.741,1,0.806
p-val,0.456,0.652,0.255,0.466,0.411,0.223,0.089
10,0.76,0.044,0.609,0.117,0.234,0.648,0.842
p-val,-0.057,0.258,-0.144,0.016,-0.006,-0.083,-0.189
11,0.97,0.423,0.771,0.956,0.985,0.865,0.669
p-val,0.006,0.251,-0.11,0.083,0.156,0.055,-0.126
1,0.997,0.431,0.824,0.777,0.649,0.91,0.777
p-val,2002,2005,2008,2011,2014,2017,2020
2,0.728,0.387,0.695,0.493,0.482,0.625,0.828
p-val,0.625,0.226,0.16,0.094,0.162,0.2,0.064
3,0.133,0.198,0.201,0.17,0.32,0.204,0.092
p-val,0.391,0.001,0.015,0.001,0,0.058,0.496
4,-0.036,-0.021,0.036,0.058,0.105,0.053,0.01
p-val,0.793,0.705,0.61,0.174,0.051,0.501,0.918
5,0.072,0.079,0.011,0.088,0.031,-0.042,-0.087
p-val,0.641,0.209,0.892,0.057,0.593,0.603,0.357
6,0.007,-0.064,0.036,0.057,0.105,0.035,-0.094
p-val,0.971,0.393,0.708,0.326,0.15,0.741,0.461
7,0.079,-0.027,0.056,0.033,0.122,0.111,-0.043
p-val,0.701,0.734,0.576,0.57,0.097,0.288,0.738
8,0.034,0.207,-0.012,0.118,0.066,0.005,-0.186
p-val,0.982,0.525,0.981,0.691,0.851,0.993,0.696
9,0.006,0.288,-0.091,0.098,0.113,0,-0.11
p-val,0.997,0.368,0.853,0.739,0.741,1,0.806
10,0.456,0.652,0.255,0.466,0.411,0.223,0.089
p-val,0.76,0.044,0.609,0.117,0.234,0.648,0.842
11,-0.057,0.258,-0.144,0.016,-0.006,-0.083,-0.189
p-val,0.97,0.423,0.771,0.956,0.985,0.865,0.669
1,0.006,0.251,-0.11,0.083,0.156,0.055,-0.126
p-val,0.997,0.431,0.824,0.777,0.649,0.91,0.777
2,2002,2005,2008,2011,2014,2017,2020
p-val,0.728,0.387,0.695,0.493,0.482,0.625,0.828
3,0.625,0.226,0.16,0.094,0.162,0.2,0.064
p-val,0.133,0.198,0.201,0.17,0.32,0.204,0.092
4,0.391,0.001,0.015,0.001,0,0.058,0.496
p-val,-0.036,-0.021,0.036,0.058,0.105,0.053,0.01
5,0.793,0.705,0.61,0.174,0.051,0.501,0.918
p-val,0.072,0.079,0.011,0.088,0.031,-0.042,-0.087
6,0.641,0.209,0.892,0.057,0.593,0.603,0.357
p-val,0.007,-0.064,0.036,0.057,0.105,0.035,-0.094
